Municipio,Departamento,Aval Partidos 2011
Villeta,Cundinamarca,U
Suesca,Cundinamarca,U
Agua de Dios,Cundinamarca,U
Fusagasuga,Cundinamarca,U
Guaduas,Cundinamarca,U
La Vega,Cundinamarca,U
Soacha,Cundinamarca,U
Chipaque,Cundinamarca,U
Fómeque,Cundinamarca,U
Jerusalén,Cundinamarca,U
Manta,Cundinamarca,U
Mosquera,Cundinamarca,U
Nimaima,Cundinamarca,U
Paime,Cundinamarca,U
Quebradanegra,Cundinamarca,U
Sesquilé,Cundinamarca,U
Tibacuy,Cundinamarca,U
Yacopí,Cundinamarca,U
Inírida,Guainía,CR
San José del Guaviare,Guaviare,AV
Calamar,Guaviare,PC
Miraflores,Guaviare,PL
El Retorno,Guaviare,U
Yaguara,Huila,ASI
Baraya,Huila,ASI
Campoalegre,Huila,ASI
San Agustín,Huila,ASI
Iquira,Huila,AV
Palermo,Huila,AV
Pital,Huila,AV
Villavieja,Huila,CR
Oporapa,Huila,MIO
Santa Maria,Huila,MIO
Garzón,Huila,PC
Elias,Huila,PC
La Plata,Huila,PC
Paicol,Huila,PC
Acevedo,Huila,PC
Nataga,Huila,PC
Tello,Huila,PL
Teruel,Huila,PC
Altamira,Huila,PC
Palestina,Huila,PC
Tesalia,Huila,PC
Pitalito,Huila,PC
Algeciras,Huila,PL
Gigante,Huila,PL
Agrado,Huila,PL
Suaza,Huila,PL
Colombia,Huila,PL
Rivera,Huila,PL
Neiva,Huila,U
Isnos,Huila,U
La Argentina,Huila,U
Saladoblanco,Huila,U
Timana,Huila,U
Tarqui,Huila,U
Aipe,Huila,U
Hobo,Huila,U
Guadalupe,Huila,U
Fonseca,La Guajira,ASI
Maicao,La Guajira,CR
Albania,La Guajira,CR
Manaure,La Guajira,CR
Urumita,La Guajira,CR
Villanueva,La Guajira,MIO
Riohacha,La Guajira,PL
San Juan del Cesar,La Guajira,PL
Barrancas,La Guajira,PL
Distraccion,La Guajira,PL
La Jagua del Pilar,La Guajira,PL
Uribia,La Guajira,PL
Dibulla,La Guajira,PL
El Molino,La Guajira,U
Hatonuevo,La Guajira,U
Fundacion,Magdalena,Afrovides
Pedraza,Magdalena,Aico
Sitionuevo,Magdalena,ASI
El Banco,Magdalena,AV
Chivolo,Magdalena,CR
Guamal,Magdalena,CR
Salamina,Magdalena,CR
Puebloviejo,Magdalena,CR
Cerro San Antonio,Magdalena,MIO
Concordia,Magdalena,PC
Zona Bananera,Magdalena,PC
Algarrobo,Magdalena,PC
Aracataca,Magdalena,PC
Pijiño Del Carmen,Magdalena,PC
Cienaga,Magdalena,PDA
Plato,Magdalena,PIN
Pivijay,Magdalena,PL
San Zenon,Magdalena,PL
Santa Barbara De Pinto,Magdalena,PL
Santa Marta,Magdalena,PL
Sabanas De San Angel,Magdalena,PL
San Sebastian De Buenavista,Magdalena,PL
Nueva Granada,Magdalena,U
Ariguani,Magdalena,U
El Reten,Magdalena,U
Remolino,Magdalena,U
Tenerife,Magdalena,U
Zapayan,Magdalena,U
El Piñon,Magdalena,U
Santa Ana,Magdalena,U
La Uribe,Meta,Aico
Cubarral,Meta,ASI
San Martín,Meta,ASI
Mesetas,Meta,CR
San  Juan de Arama,Meta,CR
Fuente de Oro,Meta,CR
Puerto Concordia,Meta,CR
Restrepo,Meta,CR
Cumaral,Meta,MIO
Granada,Meta,PIN
Cabuyaro,Meta,PIN
Lejanías,Meta,PIN
Puerto Lleras,Meta,PL
La Macarena,Meta,PL
Puerto Rico,Meta,PL
Mapiripán,Meta,U
Acacias,Meta,U
El Calvario,Meta,U
Puerto López,Meta,U
San Juanito,Meta,U
Villavicencio,Meta,U
Vista Hermosa,Meta,U
Castilla La Nueva,Meta,U
El Dorado,Meta,U
Guamal,Meta,U
Barranca de Upia,Meta,U
El Castillo,Meta,U
Puerto Gaitán,Meta,U
San Carlos Guaroa,Meta,U
Aldaña,Nariño,Aico
Santacruz,Nariño,Aico
El rosario,Nariño,Aico
Leiva,Nariño,Aico
Cumbal,Nariño,Aico
Roberto payan,Nariño,ASI
San lorenzo,Nariño,ASI
El charco,Nariño,AV
Mallama,Nariño,AV
Ricaurte,Nariño,AV
San pablo,Nariño,CR
Pasto,Nariño,CR
Alban,Nariño,CR
Arboleda,Nariño,CR
Contadero,Nariño,CR
Guachucal,Nariño,CR
Los andes,Nariño,CR
Olaya herrera,Nariño,CR
La tola,Nariño,CR
Barbacoas,Nariño,CR
La union,Nariño,CR
Ancuya,Nariño,CR
Cumbitara,Nariño,CR
Policarpa,Nariño,CR
El tablon,Nariño,Firmas
Guaitarilla,Nariño,Firmas
Sapuyes,Nariño,Firmas
Belen,Nariño,Firmas
Linares,Nariño,Firmas
Tumaco,Nariño,Firmas
Colon(genova),Nariño,Firmas
Tuquerres,Nariño,Firmas
Santa Bárbara (Iscuandé),Nariño,MIO
Cuaspud,Nariño,PC
Gualmatan,Nariño,PC
La florida,Nariño,PC
Yacuanquer,Nariño,PC
Francisco Pizarro (Salahonda),Nariño,PC
Imues,Nariño,PC
Puerres,Nariño,PC
Pupiales,Nariño,PC
Tangua,Nariño,PC
Consaca,Nariño,PDA
Samaniego,Nariño,PIN
Magui,Nariño,PL
Nariño,Nariño,PL
Ipiales,Nariño,PL
Chachagui,Nariño,PL
Cordoba,Nariño,PL
La llanada,Nariño,PL
Sandona,Nariño,PL
Taminango,Nariño,PL
Ospina,Nariño,PL
Iles,Nariño,U
San pedro de cartago,Nariño,U
Funes,Nariño,U
Buesaco,Nariño,U
El tambo,Nariño,U
Mosquera,Nariño,U
Potosi,Nariño,U
La cruz,Nariño,U
San bernardo,Nariño,U
El peñol,Nariño,U
Providencia,Nariño,U
Puerto Santander,Norte de Santander,Afrovides
Ocaña,Norte de Santander,Aico
El Tarra,Norte de Santander,Aico
Teorama,Norte de Santander,ASI
Hacari,Norte de Santander,ASI
Ragonvalia,Norte de Santander,ASI
Durania,Norte de Santander,AV
Cúcuta,Norte de Santander,AV
Bucarasica,Norte de Santander,AV
Abrego,Norte de Santander,AV
Chinácota,Norte de Santander,AV
Tibú,Norte de Santander,CR
Arboledas,Norte de Santander,CR
Toledo,Norte de Santander,CR
Cáchira,Norte de Santander,CR
Convención,Norte de Santander,CR
Gramalote,Norte de Santander,CR
Cácota,Norte de Santander,CR
El Zulia,Norte de Santander,CR
Los Patios,Norte de Santander,Firmas
Villacaro,Norte de Santander,PC
Pamplona,Norte de Santander,PC
Herrán,Norte de Santander,PC
Mutiscua,Norte de Santander,PC
La Esperanza,Norte de Santander,PC
La Playa,Norte de Santander,PC
Pamplonita,Norte de Santander,PC
Sardinata,Norte de Santander,PC
Lourdes,Norte de Santander,PC
San Calixto,Norte de Santander,PDA
Bochalema,Norte de Santander,PL
San Cayetano,Norte de Santander,PL
Silos,Norte de Santander,U
Villa del Rosario,Norte de Santander,U
Santiago,Norte de Santander,U
El Carmen,Norte de Santander,U
Chitagá,Norte de Santander,U
Cucutilla,Norte de Santander,U
Labateca,Norte de Santander,U
Salazar,Norte de Santander,U
Puerto Guzmán,Putumayo,Afrovides
Valle del Guamuez,Putumayo,Aico
Puerto Leguízamo,Putumayo,Aico
San Miguel,Putumayo,ASI
Puerto Caycedo,Putumayo,AV
Mocoa,Putumayo,PC
Puerto Asís,Putumayo,PC
San Francisco,Putumayo,PC
Villagarzón,Putumayo,PC
Santiago,Putumayo,PC
Colón,Putumayo,PL
Sibundoy,Putumayo,PL
Orito,Putumayo,PL
La Tebaida,Quindío,Afrovides
Pijao,Quindío,ASI
Filandia,Quindío,AV
Circasia,Quindío,Firmas
Salento,Quindío,Firmas
Buenavista,Quindío,PC
Génova,Quindío,PC
Quimbaya,Quindío,PL
Montenegro,Quindío,PL
Armenia,Quindío,PL
Córdoba,Quindío,U
Calarcá,Quindío,U
Mistrato,Risaralda,ASI
Santa Rosa de Cabal,Risaralda,ASI
Quinchía,Risaralda,CR
Dos Quebradas,Risaralda,Firmas
Marsella,Risaralda,Firmas
Belén de Umbría,Risaralda,PC
Guatica,Risaralda,PC
La Virginia,Risaralda,PC
Apia,Risaralda,PL
Balboa,Risaralda,PL
Santuario,Risaralda,U
Pereira,Risaralda,U
Pueblo Rico,Risaralda,U
La Celia,Risaralda,U
Providencia,San Andrés,MIO
San Andrés,San Andrés,
Chipatá,Santander,ASI
Cabrera,Santander,ASI
Galán,Santander,AV
Sabana de Torres,Santander,CR
Rionegro,Santander,CR
Charta,Santander,CR
Florián,Santander,CR
Málaga,Santander,CR
San Benito,Santander,CR
Puente Nacional,Santander,CR
Vetas,Santander,CR
Zapatoca,Santander,CR
Aratoca,Santander,CR
Chima,Santander,CR
Hato,Santander,CR
Landázuri,Santander,CR
Cerrito,Santander,CR
El Guacamayo,Santander,CR
El Peñón,Santander,CR
Gámbita,Santander,CR
La Paz,Santander,CR
Barrancabermeja,Santander,Firmas
Betulia,Santander,Firmas
Barichara,Santander,Firmas
Piedecuesta,Santander,Firmas
