Municipio,Departamento,Primer aval 2011,Primer aval 2015
El Piñon,Magdalena,U,U
Santa Ana,Magdalena,U,U
La Uribe,Meta,Aico,PL
Cubarral,Meta,ASI,CD
San Martín,Meta,ASI,PL
Mesetas,Meta,CR,ASI
San  Juan de Arama,Meta,CR,CD
Fuente de Oro,Meta,CR,CR
Puerto Concordia,Meta,CR,Mais
Restrepo,Meta,CR,PL
Cumaral,Meta,MIO,Mais
Granada,Meta,PIN,CR
Cabuyaro,Meta,PIN,PL
Lejanías,Meta,PIN,PL
Puerto Lleras,Meta,PL,CD
La Macarena,Meta,PL,PC
Puerto Rico,Meta,PL,PC
Mapiripán,Meta,U,ASI
Acacias,Meta,U,AV
El Calvario,Meta,U,CD
Puerto López,Meta,U,CD
San Juanito,Meta,U,CR
Villavicencio,Meta,U,Firmas
Vista Hermosa,Meta,U,Mais
Castilla La Nueva,Meta,U,PC
El Dorado,Meta,U,PC
Guamal,Meta,U,PC
Barranca de Upia,Meta,U,PL
El Castillo,Meta,U,PL
Puerto Gaitán,Meta,U,PL
San Carlos Guaroa,Meta,U,U
Aldaña,Nariño,Aico,Aico
Santacruz,Nariño,Aico,Aico
El rosario,Nariño,Aico,PC
Leiva,Nariño,Aico,PC
Cumbal,Nariño,Aico,PL
Roberto payan,Nariño,ASI,PL
San lorenzo,Nariño,ASI,U
El charco,Nariño,AV,ASI
Mallama,Nariño,AV,PL
Ricaurte,Nariño,AV,PL
San pablo,Nariño,CR,ASI
Pasto,Nariño,CR,Firmas
Alban,Nariño,CR,PC
Arboleda,Nariño,CR,PC
Contadero,Nariño,CR,PC
Guachucal,Nariño,CR,PC
Los andes,Nariño,CR,PC
Olaya herrera,Nariño,CR,PC
La tola,Nariño,CR,PDA
Barbacoas,Nariño,CR,PL
La union,Nariño,CR,PL
