"code","municipio","departamento","TMIN_CLAS_COBRE_A_1_1","conf_uso_2"
5674,"San Vicente","Antioquia",0,2.114971
5679,"Santa Bárbara","Antioquia",0,1.348184
5686,"Santa Rosa de Osos","Antioquia",0,2.114971
5690,"Santo Domingo","Antioquia",1,1.348184
5697,"Santuario","Antioquia",0,2.114971
5736,"Segovia","Antioquia",1,-2.187426
5756,"Sonsón","Antioquia",1,0.253939
5761,"Sopetrán","Antioquia",0,2.114971
5789,"Támesis","Antioquia",1,0.440392
5790,"Tarazá","Antioquia",0,0.253939
5792,"Tarso","Antioquia",0,2.114971
5809,"Titiribí","Antioquia",0,0.440392
5819,"Toledo","Antioquia",0,-0.326394
5837,"Turbo","Antioquia",0,0.253939
5842,"Uramita","Antioquia",1,-0.326394
5847,"Urrao","Antioquia",1,-2.187426
5854,"Valdivia","Antioquia",0,-2.187426
5856,"Valparaiso","Antioquia",1,1.348184
5858,"Vegachí","Antioquia",1,-1.42064
5861,"Venecia","Antioquia",1,2.114971
5873,"Vigía del Fuerte","Antioquia",1,-2.187426
5885,"Yalí","Antioquia",0,0.253939
5887,"Yarumal","Antioquia",0,2.114971
5890,"Yolombó","Antioquia",1,0.253939
5893,"Yondó (Casabe)","Antioquia",0,-1.42064
5895,"Zaragoza","Antioquia",1,0.253939
8001,"Barranquilla","Atlántico",0,0.253939
8078,"Baranoa","Atlántico",0,2.114971
8137,"Campo de la Cruz","Atlántico",0,0.253939
8141,"Candelaria","Atlántico",0,0.253939
8296,"Galapa","Atlántico",0,2.114971
8372,NA,NA,0,2.114971
8421,"Luruaco","Atlántico",0,0.253939
8433,"Malambo","Atlántico",0,0.253939
8436,"Manatí","Atlántico",0,0.253939
8520,"Palmar de Varela","Atlántico",0,0.253939
8549,"Piojo","Atlántico",0,-1.42064
8558,"Polonuevo","Atlántico",0,0.440392
8560,"Ponedera","Atlántico",0,0.253939
8573,"Puerto Colombia","Atlántico",0,0.253939
8606,"Repelón","Atlántico",0,0.253939
8634,"Sabanagrande","Atlántico",0,0.253939
8638,"Sabanalarga","Atlántico",0,0.253939
8675,"Santa Lucía","Atlántico",0,0.253939
8685,"Santo Tomás","Atlántico",0,2.114971
8758,"Soledad","Atlántico",0,0.253939
8770,"Suan","Atlántico",0,0.253939
8832,"Tubará","Atlántico",0,0.253939
8849,"Usiacuri","Atlántico",0,0.253939
11001,"Bogotá","Bogotá D.C.",0,-0.512848
13001,"Cartagena","Bolívar",0,0.253939
13006,"Achí","Bolívar",0,-1.42064
13030,"Altos del Rosario","Bolívar",1,0.253939
13042,"Arenal","Bolívar",1,-1.42064
13052,"Arjona","Bolívar",0,0.253939
13062,"Arroyohondo","Bolívar",0,0.253939
13074,"Barranco de Loba","Bolívar",0,0.253939
13140,"Calamar","Bolívar",0,2.114971
13160,"Cantagallo","Bolívar",1,-1.42064
13188,"Cicuco","Bolívar",0,0.253939
13212,"Córdoba","Bolívar",0,2.114971
13222,"Clemencia","Bolívar",0,2.114971
13244,"El Carmen de Bolívar","Bolívar",0,0.440392
13248,"El Guamo","Bolívar",0,0.440392
13268,"El Peñon","Bolívar",0,0.253939
13300,"Hatillo de Loba","Bolívar",0,0.253939
13430,"Magangué","Bolívar",0,2.114971
13433,"Mahates","Bolívar",0,0.253939
13440,"Margarita","Bolívar",0,0.253939
13442,"María la Baja","Bolívar",0,0.253939
13458,"Montecristo","Bolívar",1,-2.187426
13468,"Mompós","Bolívar",0,0.253939
13473,"Morales","Bolívar",1,-1.42064
13490,"Norosí","Bolívar",0,0.253939
13549,"Pinillos","Bolívar",0,0.253939
13580,"Regidor","Bolívar",0,0.253939
13600,"Río Viejo","Bolívar",1,-1.42064
13620,"San Cristobal","Bolívar",0,0.253939
13647,"San Estanislao","Bolívar",0,0.440392
13650,"San Fernando","Bolívar",0,0.253939
13654,"San Jacinto","Bolívar",0,2.114971
13655,"San Jacinto del Cauca","Bolívar",0,0.253939
13657,"San Juan de Nepomuceno","Bolívar",0,0.440392
13667,"San Martín de Loba","Bolívar",1,0.253939
13670,"San Pablo","Bolívar",1,-1.42064
13673,"Santa Catalina","Bolívar",0,2.114971
13683,"Santa Rosa","Bolívar",0,0.253939
13688,"Santa Rosa del Sur","Bolívar",1,-2.187426
13744,"Simití","Bolívar",0,0.440392
13760,"Soplaviento","Bolívar",0,0.253939
13780,"Talaigua Nuevo","Bolívar",0,0.253939
13810,"Tiquisio (Puerto Rico)","Bolívar",1,-1.42064
13836,"Turbaco","Bolívar",0,2.114971
13838,"Turbaná","Bolívar",0,0.253939
13873,"Villanueva","Bolívar",0,2.114971
13894,"Zambrano","Bolívar",0,-1.42064
15001,"Tunja","Boyacá",0,1.348184
15022,"Almeida","Boyacá",0,-0.326394
15047,"Aquitania","Boyacá",0,-2.187426
15051,"Arcabuco","Boyacá",0,1.348184
15087,"Belén","Boyacá",0,-1.42064
15090,"Berbeo","Boyacá",0,-0.326394
15092,"Beteitiva","Boyacá",0,-2.187426
15097,"Boavita","Boyacá",0,2.114971
15104,"Boyacá","Boyacá",0,-0.326394
15106,"Briceño","Boyacá",0,0.253939
15109,"Buenavista","Boyacá",0,-0.326394
15114,"Busbanza","Boyacá",0,-2.187426
15131,"Caldas","Boyacá",0,-2.187426
15135,"Campohermoso","Boyacá",0,-0.326394
15162,"Cerinza","Boyacá",0,-1.42064
15172,"Chinavita","Boyacá",0,-0.326394
15176,"Chiquinquirá","Boyacá",0,0.253939
15180,"Chiscas","Boyacá",0,-2.187426
15183,"Chita","Boyacá",0,-2.187426
15185,"Chitaraque","Boyacá",0,-0.326394
15187,"Chivatá","Boyacá",0,-0.326394
15189,"Ciénaga","Boyacá",0,-0.326394
15204,"Cómbita","Boyacá",0,-0.326394
15212,"Coper","Boyacá",0,0.440392
15215,"Corrales","Boyacá",0,-0.512848
15218,"Covarachía","Boyacá",0,-2.187426
15223,"Cubará","Boyacá",0,-2.187426
15224,"Cucaita","Boyacá",0,0.253939
15226,"Cuitiva","Boyacá",0,-2.187426
15232,"Chíquiza","Boyacá",0,-2.187426
15236,"Chívor","Boyacá",0,-0.326394
15238,"Duitama","Boyacá",0,0.253939
15244,"El Cocuy","Boyacá",0,-2.187426
15248,"El Espino","Boyacá",0,-0.512848
15272,"Firavitoba","Boyacá",0,2.114971
15276,"Floresta","Boyacá",0,-1.42064
15293,"Gachantivá","Boyacá",0,1.348184
